MarcaTiempo,TiempoRespuesta,TipoSolicitud,CodigoHTTP,MensajeRespuesta,CasoPrueba,TipoContenido,Exito,Bytes,Hilos,Muestras,Latencia
1733108985865,1681,HTTP Request,200,OK,Caso4 1-400,text,true,507,43,43,1681
1733108984735,2812,HTTP Request,200,OK,Caso4 1-312,text,true,521,42,42,2812
1733108985721,1827,HTTP Request,200,OK,Caso4 1-389,text,true,521,41,41,1827
1733108985321,2227,HTTP Request,200,OK,Caso4 1-358,text,true,507,41,41,2227
1733108985219,2330,HTTP Request,200,OK,Caso4 1-350,text,true,507,39,39,2330
1733108985244,2306,HTTP Request,200,OK,Caso4 1-352,text,true,507,38,38,2306
1733108985346,2205,HTTP Request,200,OK,Caso4 1-360,text,true,507,37,37,2205
1733108985797,1754,HTTP Request,200,OK,Caso4 1-395,text,true,521,36,36,1754
1733108985694,1859,HTTP Request,200,OK,Caso4 1-387,text,true,507,35,35,1859
1733108985207,2353,HTTP Request,200,OK,Caso4 1-349,text,true,507,34,34,2353
1733108985746,1814,HTTP Request,200,OK,Caso4 1-391,text,true,521,34,34,1814
1733108985258,2303,HTTP Request,200,OK,Caso4 1-353,text,true,521,32,32,2303
1733108985540,2021,HTTP Request,200,OK,Caso4 1-375,text,true,507,32,32,2021
1733108984888,2674,HTTP Request,200,OK,Caso4 1-324,text,true,507,30,30,2674
1733108985512,2050,HTTP Request,200,OK,Caso4 1-373,text,true,521,29,29,2050
1733108983705,3858,HTTP Request,200,OK,Caso4 1-234,text,true,521,28,28,3858
1733108985002,2562,HTTP Request,200,OK,Caso4 1-333,text,true,549,27,27,2562
1733108985834,1731,HTTP Request,200,OK,Caso4 1-398,text,true,521,26,26,1731
1733108985529,2037,HTTP Request,200,OK,Caso4 1-374,text,true,507,25,25,2037
1733108985129,2437,HTTP Request,200,OK,Caso4 1-343,text,true,535,25,25,2437
1733108984850,2716,HTTP Request,200,OK,Caso4 1-321,text,true,521,24,24,2716
1733108985580,1987,HTTP Request,200,OK,Caso4 1-378,text,true,521,23,23,1987
1733108985553,2014,HTTP Request,200,OK,Caso4 1-376,text,true,549,22,22,2014
1733108985618,1950,HTTP Request,200,OK,Caso4 1-381,text,true,521,21,21,1950
1733108985707,1861,HTTP Request,200,OK,Caso4 1-388,text,true,507,21,21,1861
1733108984937,2632,HTTP Request,200,OK,Caso4 1-328,text,true,521,18,18,2632
1733108985809,1761,HTTP Request,200,OK,Caso4 1-396,text,true,507,17,17,1761
1733108985568,2002,HTTP Request,200,OK,Caso4 1-377,text,true,507,17,17,2002
1733108985604,1967,HTTP Request,200,OK,Caso4 1-380,text,true,521,16,16,1967
1733108985848,1728,HTTP Request,200,OK,Caso4 1-399,text,true,507,14,14,1728
1733108985307,2269,HTTP Request,200,OK,Caso4 1-357,text,true,521,13,13,2269
1733108985770,1806,HTTP Request,200,OK,Caso4 1-393,text,true,521,12,12,1806
1733108985821,1756,HTTP Request,200,OK,Caso4 1-397,text,true,507,11,11,1756
1733108985473,2104,HTTP Request,200,OK,Caso4 1-370,text,true,549,11,11,2104
1733108985784,1793,HTTP Request,200,OK,Caso4 1-394,text,true,521,9,9,1793
1733108985757,1821,HTTP Request,200,OK,Caso4 1-392,text,true,521,8,8,1821
1733108985733,1846,HTTP Request,200,OK,Caso4 1-390,text,true,521,7,7,1846
1733108985449,2130,HTTP Request,200,OK,Caso4 1-368,text,true,535,6,6,2130
1733108985644,1936,HTTP Request,200,OK,Caso4 1-383,text,true,507,5,5,1936
1733108984875,2709,HTTP Request,200,OK,Caso4 1-323,text,true,521,4,4,2709
1733108985593,1991,HTTP Request,200,OK,Caso4 1-379,text,true,521,3,3,1991
1733108985631,1954,HTTP Request,200,OK,Caso4 1-382,text,true,521,2,2,1954
1733108985670,1916,HTTP Request,200,OK,Caso4 1-385,text,true,507,1,1,1916
